match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_aerialLost,stat_challengeLost,stat_penaltyWon,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
14572774,away,FC Midtjylland,Gue-sung Cho,gue-sung-cho,G. Cho,F,10,188,2291,M,1014281,EUR,885686400,F,10,10,False,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,67.0,15.0,6.4,5.0,0.0107504,,0,,-0.11,0.21,-0.01,,,,,,4.0,2.0,,,,2.0,,,,,,5.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,
14572774,away,FC Midtjylland,Aral Şimşir,aral-simsir,A. Şimşir,M,58,167,1868,M,999186,EUR,1024444800,F,58,58,False,22.0,18.0,3.0,2.0,0.0,7.0,8.0,11.0,14.0,,1.0,,,,,,58.0,36.0,6.7,13.0,0.21812,,1,,0.17,-0.2,-0.01,,,9.0,3.0,,2.0,1.0,,,,,0.0398,,0.01,,,1.0,1.0,4.0,,,,,,,,,,,,2.0,1.0,,,,,
14572774,away,FC Midtjylland,Darío Osorio,dario-osorio,D. Osorio,M,11,182,7928,M,1106824,EUR,1074902400,M,11,11,True,10.0,8.0,,,1.0,5.0,5.0,3.0,5.0,1.0,2.0,,,,,,32.0,21.0,6.4,7.0,0.232895,,0,,-0.03,0.03,-0.05,,daariioo24,,,,6.0,3.0,6.0,2.0,,1.0,,,,,,,1.0,1.0,Darío Osorio,,1.0,,,1.0,,,,,1.0,,,,,,,
14572774,away,FC Midtjylland,Han-Beom Lee,han-beom-lee,H. Lee,D,3,188,933,M,1002448,EUR,1024272000,D,3,3,True,11.0,9.0,2.0,,0.0,7.0,7.0,2.0,4.0,1.0,1.0,,,,,,24.0,14.0,6.3,2.0,0.00044908,,0,,0.02,0.01,-0.16,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Pedro Bravo,pedro-bravo,P. Bravo,M,19,190,581,M,1116573,EUR,1101427200,M,19,19,True,13.0,12.0,,,0.0,4.0,5.0,8.0,8.0,3.0,1.0,,,,,,23.0,19.0,6.7,1.0,0.0127938,,0,,0.01,0.14,0.25,,,,,,,,,,,,,,,,,,,,Pedro Bravo,,,,,,,,,,1.0,,,,,,,
14572774,away,FC Midtjylland,Valdemar Byskov,valdemar-byskov,V. Byskov,M,20,180,403,M,1146404,EUR,1106611200,M,20,20,True,8.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,1.0,,,,,,,23.0,15.0,7.5,6.0,0.00243743,,1,,-0.23,0.12,-0.03,,,3.0,,,4.0,1.0,1.0,1.0,1.0,,0.0769,0.0947,0.52,,,,,,Valdemar Byskov,,,,1.0,,3.0,,,,,1.0,,,,,,
14572774,away,FC Midtjylland,Franculino Djú,franculino-dju,F. Djú,F,7,182,4849,M,1146009,EUR,1088380800,F,7,7,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,9.0,4.0,6.5,2.0,1.301e-05,,0,,0.01,0.02,-0.01,,,,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,Franculino,,,,,,,,1.0,,,,,,,,,
14572774,away,FC Midtjylland,Jonas Lössl,jonas-lossl,J. Lössl,G,1,195,205,M,37514,EUR,602294400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Adam Gabriel,adam-gabriel,A. Gabriel,D,13,190,137,M,1085914,EUR,991008000,D,13,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Adam Gabriel,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Paulinho,paulinho,Paulinho,D,29,178,197,M,944458,EUR,789091200,D,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Dani Silva,daniel-silva,D. Silva,M,80,180,232,M,974863,EUR,955411200,M,80,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Edward Chilufya,edward-chilufya,E. Chilufya,F,14,171,734,M,881135,EUR,937526400,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Mikel Gogorza,mikel-gogorza,M. Gogorza,F,41,175,706,M,1146549,EUR,1159315200,F,41,41,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Friday Etim,friday-etim,F. Etim,F,25,186,186,M,1172464,EUR,1021939200,F,90,90,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Friday Etim,,,,,,,,,,,,,,,,,
