match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_aerialLost,stat_totalContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_punches,stat_penaltyWon
12499652,away,Holstein Kiel,Timon Weiner,timon-weiner,T. Weiner,G,1,191,134,M,1140362,EUR,916617600,G,1,1,False,,38.0,19.0,32.0,14.0,0.0,8.0,10.0,28.0,9.0,3.0,,5.0,90.0,48.0,7.0,19.0,0.0040174,0,-0.669,,11.0,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,
12499652,away,Holstein Kiel,Marko Ivezić,marko-ivezic,M. Ivezić,D,6,191,161,M,1105869,EUR,1007251200,D,6,6,False,,28.0,24.0,2.0,2.0,0.0,15.0,17.0,11.0,2.0,,,,90.0,55.0,7.4,5.0,0.00627432,0,,,9.0,,,1.0,4.0,4.0,2.0,,,,13.0,3.0,3.0,2.0,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Patrick Erras,patrick-erras,P. Erras,D,4,196,77,M,254003,EUR,790646400,D,4,4,False,,28.0,26.0,1.0,,0.0,19.0,20.0,8.0,1.0,,,,90.0,46.0,6.8,2.0,0.0030151,0,,,7.0,,,1.0,1.0,1.0,,,,,14.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Max Geschwill,geschwill-max,M. Geschwill,D,28,182,46,M,963073,EUR,994464000,D,14,14,False,,19.0,14.0,1.0,,0.0,8.0,12.0,7.0,2.0,,,,90.0,32.0,7.3,8.0,0.00263355,2,,,6.0,,,1.0,,1.0,,,1.0,,3.0,1.0,,,,0.4026,1.0,,,,,,,,,,1.0,,0.9389,1.0,,,,,,
12499652,away,Holstein Kiel,Timo Becker,timo-becker,T. Becker,D,5,186,174,M,814735,EUR,859248000,M,17,17,False,,17.0,12.0,2.0,2.0,0.0,7.0,10.0,9.0,2.0,,,,90.0,39.0,6.7,7.0,0.139666,0,,,6.0,2.0,1.0,,5.0,2.0,2.0,,,,6.0,1.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,
12499652,away,Holstein Kiel,Lewis Holtby,lewis-holtby,L. Holtby,M,90,176,208,M,1135884,EUR,653616000,M,10,10,False,True,44.0,34.0,5.0,3.0,1.0,18.0,22.0,23.0,9.0,,,,86.0,54.0,7.2,12.0,0.214222,1,,,17.0,1.0,1.0,1.0,4.0,3.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,0.0624,,,1.0,,2.0,2.0,,,,1.0,,,,,Lewis,Holtby,,,,
12499652,away,Holstein Kiel,Magnus Knudsen,magnus-knudsen,M. Knudsen,M,4,175,118,M,977919,EUR,992563200,M,24,24,False,,37.0,32.0,2.0,1.0,0.0,17.0,20.0,17.0,2.0,,,,90.0,49.0,7.3,6.0,0.217108,0,,,15.0,,,2.0,1.0,6.0,,,,,2.0,1.0,3.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Armin Gigović,armin-gigovic,A. Gigović,M,37,187,1508,M,988893,EUR,1018051200,M,37,37,False,,20.0,18.0,,,0.0,11.0,12.0,8.0,6.0,,,,71.0,40.0,7.3,5.0,0.0021739,0,,,7.0,,,1.0,1.0,7.0,,,,,3.0,2.0,3.0,1.0,1.0,,,,3.0,2.0,,,2.0,,,,,,,,,,,,,1.0
12499652,away,Holstein Kiel,Finn Porath,finn-porath,F. Porath,M,27,179,117,M,789714,EUR,856656000,M,8,8,False,,10.0,4.0,2.0,1.0,0.0,4.0,7.0,3.0,3.0,,,,86.0,30.0,7.3,8.0,4.19e-05,1,,,,,,,3.0,10.0,,1.0,,1.0,2.0,1.0,9.0,6.0,1.0,0.0487,1.0,,,,2.0,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Steven Skrzybski,steven-skrzybski,S. Skrzybski,F,7,173,278,M,122573,EUR,722044800,F,7,7,False,,9.0,6.0,1.0,,0.0,4.0,5.0,5.0,2.0,,,,45.0,16.0,6.7,4.0,0.0286954,0,,,3.0,1.0,1.0,,,2.0,,,,,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
