match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_challengeLost,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_errorLeadToAShot,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist
10382221,away,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,177,8611,959805,EUR,992736000,M,8,8,False,23.0,18.0,,,6.0,6.0,12.0,17.0,,2.0,,2.0,,,67.0,31.0,6.6,8.0,1,27,M,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,,,,,,1.0,,,,,1.0,,,,
10382221,away,Feyenoord,Oussama Idrissi,,,oussama-idrissi,O. Idrissi,M,175,2812,823963,EUR,825292800,M,26,26,False,27.0,25.0,3.0,3.0,11.0,11.0,15.0,18.0,,3.0,,3.0,,,60.0,43.0,6.7,8.0,0,11,M,2.0,1.0,4.0,,5.0,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,
10382221,away,Feyenoord,Santiago Giménez,,,santiago-gimenez,S. Giménez,F,182,32499,892141,EUR,987552000,F,29,29,False,8.0,6.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,4.0,,4.0,,,67.0,16.0,7.5,5.0,2,7,M,,,1.0,,,,1.0,,,2.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,sant.gimenez,,,,,1.0,,,
10382221,away,Feyenoord,Alireza Jahanbakhsh,,,alireza-jahanbakhsh,A. Jahanbakhsh,M,180,3825,331837,EUR,745027200,F,7,7,True,12.0,7.0,,,3.0,4.0,4.0,8.0,,3.0,1.0,,,,30.0,25.0,6.6,8.0,0,27,M,,,1.0,,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,alirezajb,,,,,,,,
10382221,away,Feyenoord,Mohamed Taabouni,,,taabouni-mohamed,M. Taabouni,M,178,234,947046,EUR,1017360000,M,25,25,True,4.0,2.0,2.0,,,1.0,2.0,4.0,,1.0,,2.0,,,23.0,9.0,6.1,6.0,0,8,M,1.0,,3.0,,1.0,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Danilo,,,danilo,Danilo,F,174,1240,940647,EUR,923443200,F,9,9,True,6.0,5.0,,,2.0,2.0,3.0,4.0,,,,3.0,,,23.0,12.0,6.5,4.0,1,9,M,,,2.0,1.0,,,1.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,
10382221,away,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,168,12525,981815,EUR,962150400,F,14,14,True,3.0,3.0,,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,21.0,8.0,6.5,2.0,0,14,M,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Marcos López,,,marcos-lopez,M. López,D,176,2887,883745,EUR,943056000,D,15,15,True,1.0,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,0,15,M,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Tein Troost,,,tein-troost,T. Troost,G,186,83,961617,EUR,1011052800,G,49,49,True,,,,,,,,,,,,,,,,,,,0,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Ofir Marciano,,,ofir-marciano,O. Marciano,G,185,59,61562,EUR,623721600,G,21,21,True,,,,,,,,,,,,,,,,,,,0,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Neraysho Kasanwirjo,,,neraysho-kasanwirjo,N. Kasanwirjo,D,185,416,961678,EUR,1013990400,D,28,28,True,,,,,,,,,,,,,,,,,,,0,21,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Jacob Rasmussen,,,jacob-rasmussen,J. Rasmussen,D,190,358,842176,EUR,864777600,D,6,6,True,,,,,,,,,,,,,,,,,,,0,14,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Mimeirhel Benita,Mimeirhel Benita,,mimeirhel-benita,M. Benita,D,176,216,1130308,EUR,1069027200,D,24,24,True,,,,,,,,,,,,,,,,,,,0,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Ezequiel Bullaude,,,ezequiel-bullaude,E. Bullaude,M,184,548,960077,EUR,972518400,M,30,30,True,,,,,,,,,,,,,,,,,,,0,10,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,179,1574,1126692,EUR,1112486400,M,48,48,True,,,,,,,,,,,,,,,,,,,0,17,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
