match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,player_lastName,stat_errorLeadToAGoal
14083197,away,Mallorca,Pablo Torre,pablo-torre,P. Torre,M,20,173,37883,M,PabloTorre,1082981,EUR,1049328000,M,20,20,False,32.0,28.0,4.0,3.0,1.0,16.0,17.0,12.0,15.0,3.0,,,64.0,39.0,6.8,7.0,0.182045,,0,,0.26,0.04,-0.1,,3.0,,2.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,,,,2.0,,,,
14083197,away,Mallorca,Mateo Joseph,mateo-joseph,M. Joseph,F,18,180,1215,M,,1170693,EUR,1066521600,F,18,18,False,13.0,12.0,,,0.0,9.0,9.0,3.0,4.0,1.0,,,87.0,29.0,5.5,9.0,0.00158776,,2,,-0.15,0.17,0.14,,1.0,4.0,9.0,1.0,2.0,,,,,1.0,,3.0,0.4551,-0.81,,,,1.0,1.0,,1.0,,,2.0,,1.0,,,,,1.0,,,
14083197,away,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194,5879,M,vedatmuriqi,310874,EUR,767145600,F,7,7,False,24.0,16.0,1.0,,0.0,9.0,10.0,7.0,14.0,2.0,,,90.0,42.0,7.5,16.0,0.00580892,,3,,-0.4,0.03,0.0,,,4.0,6.0,9.0,2.0,1.0,,,,,1.0,6.0,0.1184,0.52,5.0,,1.0,2.0,,,1.0,,,1.0,,2.0,0.6857,,1.0,,,,,
14083197,away,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,,988351,EUR,975283200,M,12,12,True,14.0,13.0,2.0,1.0,0.0,8.0,8.0,5.0,6.0,,,,26.0,22.0,6.8,4.0,0.0025943,,1,,0.16,0.02,0.22,,1.0,1.0,3.0,2.0,1.0,,,,,,2.0,,0.0361,0.02,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,
14083197,away,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,,344847,EUR,714355200,D,22,22,True,7.0,6.0,1.0,1.0,0.0,4.0,5.0,2.0,2.0,3.0,,,12.0,15.0,6.9,2.0,0.00245063,,0,,0.07,0.0,0.13,,1.0,,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
14083197,away,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179,256,M,,949722,EUR,861667200,M,6,6,True,3.0,3.0,,,0.0,3.0,3.0,,,1.0,,,12.0,4.0,6.6,,3.67e-05,,0,,0.01,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Jan Virgili,jan-virgili,J. Virgili,M,17,168,6428,M,,1939173,EUR,1153872000,F,29,29,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,,,10.0,5.0,6.5,1.0,0.00052197,,0,,-0.02,0.02,0.13,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,Jan Virgili,,,,,,
14083197,away,Mallorca,Takuma Asano,takuma-asano,T. Asano,M,11,173,2033,M,,309546,EUR,784425600,F,11,11,True,1.0,,1.0,,0.0,,1.0,,,,,,10.0,1.0,6.5,1.0,,,0,,-0.02,0.1,0.15,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14083197,away,Mallorca,Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3167,M,,996903,EUR,1031184000,G,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,David López,david-lopez,D. López,D,27,195,103,M,,1513896,EUR,1044230400,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,,349526,EUR,581558400,M,14,14,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Javi Llabrés,javi-llabres,J. Llabrés,M,19,174,115,M,,1162309,EUR,1031702400,F,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javi Llabrés,,,,,,
14083197,away,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181,553,M,,255999,EUR,728611200,M,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Marc Domenech,marc-domenech,M. Domenech,M,30,182,265,M,,1914318,EUR,1136073600,F,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Domenech,,,,,,
14083197,away,Mallorca,Abdón Prats,abdon-prats,A. Prats,F,9,181,325,M,,146852,EUR,724550400,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
