match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_bigChanceMissed,player_firstName,player_lastName,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross
10408321,home,Real Sociedad,Pablo Marín,pablo-marin,P. Marín,M,15,178,481,M,1139409,EUR,1057190400,M,42,42,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pablo Marín,,,,,,
10408321,home,Real Sociedad,Ander Guevara,ander-guevara,A. Guevara,M,6,180,265,M,891931,EUR,868233600,M,16,16,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Jon Karrikaburu,jon-karrikaburu,J. Karrikaburu,F,19,183,323,M,1099175,EUR,1032393600,F,33,33,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,away,Osasuna,Aitor Fernández,aitor-fernandez,A. Fernández,G,13,182,248,M,99516,EUR,673228800,G,25,25,False,32.0,9.0,28.0,6.0,5.0,9.0,4.0,23.0,13.0,,,90.0,43.0,6.1,23.0,0.0,0.0,0.00113714,0,-0.8954,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,
10408321,away,Osasuna,Rubén Peña,ruben-pena,R. Peña,D,7,170,186,M,255973,EUR,679795200,D,15,15,False,41.0,24.0,7.0,1.0,8.0,15.0,17.0,34.0,5.0,,,90.0,82.0,6.6,34.0,0.0269,0.0,0.103278,2,,,,8.0,8.0,2.0,1.0,,2.0,3.0,1.0,2.0,,1.0,5.0,3.0,8.0,1.0,5.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0
10408321,away,Osasuna,Unai García,unai-garcia,U. García,D,4,182,118,M,330675,EUR,715392000,D,4,4,False,22.0,11.0,6.0,,7.0,10.0,4.0,12.0,5.0,,,65.0,34.0,6.0,18.0,0.0,0.0,0.0008532,0,,True,1.0,3.0,3.0,,2.0,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,,Unai,García,,,,,
10408321,away,Osasuna,David García,david-garcia,D. García,D,5,185,306,M,591136,EUR,761184000,D,5,5,False,36.0,29.0,5.0,3.0,18.0,22.0,11.0,14.0,11.0,,,90.0,48.0,6.9,7.0,0.0,0.0,0.00490237,0,,,2.0,1.0,5.0,,4.0,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,
10408321,away,Osasuna,Juan Cruz,juan-cruz,J. Cruz,D,3,180,216,M,897902,EUR,712281600,D,3,3,False,33.0,25.0,3.0,1.0,14.0,17.0,12.0,18.0,3.0,,,78.0,49.0,6.6,11.0,0.0,0.0,0.0806873,0,,,1.0,3.0,4.0,,3.0,2.0,2.0,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0
10408321,away,Osasuna,Manuel Sánchez,manuel-sanchez,M. Sánchez,D,23,179,623,M,984789,EUR,966988800,D,20,20,False,35.0,27.0,5.0,2.0,9.0,12.0,19.0,24.0,6.0,,,90.0,50.0,6.9,11.0,0.0,0.0,0.046843,0,,,1.0,2.0,5.0,,1.0,2.0,,,,1.0,,,4.0,1.0,1.0,,3.0,3.0,,,,1.0,,,,,,,,,,,1.0
10408321,away,Osasuna,Jon Moncayola,jon-moncayola,J. Moncayola,M,7,182,703,M,976141,EUR,895017600,M,7,7,False,43.0,37.0,4.0,3.0,16.0,16.0,21.0,27.0,8.0,,,90.0,57.0,6.8,10.0,0.0711,0.0703,0.0258148,2,,,,6.0,4.0,,1.0,1.0,,2.0,,3.0,,,4.0,4.0,,2.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,
10408321,away,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,23.0,18.0,1.0,,8.0,9.0,10.0,14.0,6.0,,,66.0,36.0,6.7,7.0,0.0162,0.0,0.00474858,1,,,1.0,3.0,5.0,,1.0,,,1.0,,1.0,,,4.0,3.0,,,2.0,,1.0,,,1.0,,,,,,,,,,,
