match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyConceded,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_errorLeadToAGoal,player_sofascoreId,stat_blockedScoringAttempt,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside
13199638,away,Real Madrid,Brahim Díaz,,,brahim-diaz,B. Díaz,M,21,170,258553,M,835485,EUR,933638400,M,21,21,True,13.0,12.0,1.0,1.0,0.0,3.0,3.0,9.0,10.0,,1.0,,,,,,,,22.0,22.0,6.8,3.0,0.0340206,0,,,,1.0,3.0,,,,,,1.0,1.0,2.0,,,,,1.0,,,,2.0,,,,,,,,,Brahim,,,,
13199638,away,Real Madrid,Eduardo Camavinga,,,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,973887,EUR,1036886400,M,6,6,True,24.0,23.0,,,0.0,13.0,13.0,10.0,11.0,1.0,2.0,,,,,,,,22.0,33.0,7.1,2.0,0.00949334,0,,,,1.0,4.0,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,Tacklevinga,,,,
13199638,away,Real Madrid,Luka Modrić,,,luka-modric,L. Modrić,M,14,173,354764,M,15466,EUR,495072000,M,10,10,True,17.0,15.0,3.0,2.0,0.0,8.0,10.0,7.0,9.0,,4.0,,,,,,,,10.0,23.0,7.6,4.0,0.00701284,1,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,0.6114,0.4173,,,,,,,,,2.0,,,,1.0,,LModric10,,,,
13199638,away,Real Madrid,Raúl Asencio,,,raul-asencio,R. Asencio,D,17,184,117937,M,1156645,EUR,1045094400,D,35,35,True,2.0,1.0,1.0,,0.0,1.0,1.0,,1.0,,,,,,,,,,1.0,4.0,,1.0,3.5e-06,0,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,asencio,,,,
13199638,away,Real Madrid,Andriy Lunin,,,andriy-lunin,A. Lunin,G,13,191,79229,M,857574,EUR,918691200,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALunin,,,,
13199638,away,Real Madrid,Fran González,,,gonzalez-fran,F. González,G,26,199,17417,M,1493226,EUR,1119571200,G,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_franglez1,,,,
13199638,away,Real Madrid,Fran García,,,fran-garcia,F. Garcia,D,20,170,66463,M,851271,EUR,934588800,D,20,20,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frangarci11,,,,
13199638,away,Real Madrid,Jesús Vallejo,,,jesus-vallejo,J. Vallejo,D,24,184,19861,M,355048,EUR,852422400,D,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jesusvallejo1997,,,,
13199638,away,Real Madrid,Arda Güler,Arda Guler,,arda-guler,A. Güler,M,15,176,399381,M,1091116,EUR,1109289600,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGüler,,,,
13199638,away,Real Madrid,Endrick,,,endrick,Endrick,F,9,173,411797,M,1174937,EUR,1153440000,F,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endrick,,,,
