match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_hitWoodwork,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,player_sofascoreId
10382229,away,Go Ahead Eagles,Finn Stokkers,finn-stokkers,F. Stokkers,F,27,187,69,M,360006,EUR,829785600,F,27,27,False,21.0,18.0,2.0,2.0,5.0,5.0,14.0,19.0,1.0,1.0,,,,,90.0,39.0,7.7,11.0,4,3.0,3.0,7.0,6.0,,,,1.0,3.0,2.0,3.0,,4.0,1.0,,,,2.0,2.0,,,3.0,,,1.0,,,1.0,1.0,,,,,
10382229,away,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187,123,M,932555,EUR,952041600,M,8,8,True,24.0,20.0,4.0,4.0,7.0,8.0,13.0,16.0,1.0,4.0,,,,,45.0,28.0,6.7,4.0,0,,,2.0,2.0,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Rashaan Fernandes,rashaan-fernandes,R. Fernandes,M,7,170,40,M,803024,EUR,901670400,F,7,7,True,10.0,10.0,,,2.0,2.0,8.0,9.0,,2.0,,,,,16.0,13.0,6.5,2.0,0,1.0,1.0,5.0,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Jahnoah Markelo,jahnoah-markelo,J. Markelo,F,24,179,246,M,1142326,EUR,1041638400,M,24,24,True,5.0,4.0,1.0,,1.0,1.0,5.0,7.0,,,,,,,16.0,12.0,6.9,2.0,1,3.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,Jahnoah Markelo,,,,,2.0,,,,,,,,,
10382229,away,Go Ahead Eagles,Jose Fontán,jose-fontan,J. Fontán,D,3,182,68,M,964609,EUR,950227200,D,4,4,True,9.0,7.0,1.0,,1.0,3.0,6.0,8.0,,1.0,,,,,13.0,12.0,6.4,4.0,1,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
10382229,away,Go Ahead Eagles,Sylla Sow,sylla-sow,S. Sow,F,88,182,143,M,845995,EUR,839462400,F,19,19,True,2.0,1.0,,,,,1.0,2.0,,,,,,,13.0,6.0,6.5,3.0,0,,,3.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Erwin Mulder,erwin-mulder,E. Mulder,G,,193,46,M,19019,EUR,604886400,G,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Luca Plogmann,luca-plogmann,L. Plogmann,G,1,187,85,M,877840,EUR,952646400,G,40,40,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Pim Saathof,pim-saathof,P. Saathof,D,28,186,47,M,1171238,EUR,1072569600,M,28,28,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Aventis Aventisian,aventis-aventisian,A. Aventisian,D,,171,45,M,983040,EUR,1029542400,D,14,14,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Aventis,Aventisian,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Federico Mattiello,federico-mattiello,F. Mattiello,M,,182,46,,227866,EUR,805680000,D,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Dario Serra,serra-dario,D. Serra,F,21,180,33,M,1431589,EUR,1042934400,F,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
