match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_clearanceOffLine,stat_wonTackle,stat_bigChanceCreated,stat_challengeLost,stat_wonContest,stat_wasFouled,stat_hitWoodwork,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_punches
14131929,away,Santa Clara,Wendel Silva,,,wendel-silva,W. Silva,F,29,177,442,M,937265,EUR,965174400,F,29,29,False,24.0,18.0,1.0,1.0,1.0,9.0,11.0,9.0,13.0,3.0,,,,77.0,35.0,7.0,9.0,0.0214286,,2,,0.03,0.13,,,,3.0,3.0,5.0,7.0,1.0,,1.0,1.0,,2.0,1.0,0.0983,2.0,-0.33,0.26,1.0,,1.0,0.1109,,,,1.0,1.0,,3.0,,,,,,,
14131929,away,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,D,2,2,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,,,,20.0,10.0,6.5,3.0,0.00019645,,1,,-0.02,-0.05,,,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,0.0082,,-0.02,-0.12,,,,,,,,,1.0,,,,,,,,,
14131929,away,Santa Clara,Paulo Victor,Paulo Victor,,paulo-victor,P. Victor,D,64,180,200,M,1108505,EUR,987120000,D,64,64,True,18.0,10.0,5.0,1.0,0.0,6.0,7.0,4.0,11.0,4.0,,,,31.0,35.0,6.0,11.0,0.00348914,,0,,-0.1,-0.36,,,,,,,2.0,,,,1.0,1.0,,,,,,-0.13,,,1.0,,,,,,,,1.0,,,,,,,
14131929,away,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,True,16.0,12.0,2.0,1.0,0.0,7.0,8.0,5.0,8.0,2.0,,,,31.0,28.0,6.8,7.0,0.158121,,3,,0.21,-0.09,,2.0,1.0,,1.0,2.0,4.0,,1.0,2.0,,,2.0,2.0,0.1605,1.0,-0.02,0.04,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,
14131929,away,Santa Clara,Elias Manoel,Elias Manoel,,elias-manoel,E. Manoel,F,33,176,649,M,1066681,EUR,1007078400,F,7,7,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,1.0,,,,25.0,12.0,6.2,2.0,0.00033118,,3,,-0.03,-0.01,,,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,0.2286,,-0.34,-0.02,1.0,,,0.0637,,,,,,,1.0,,,,1.0,,,
14131929,away,Santa Clara,Brenner,,,brenner,Brenner,F,11,171,184,M,1799251,EUR,1009929600,F,11,11,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,1.0,,,,13.0,12.0,6.9,4.0,0.144965,,0,,0.25,0.13,,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,3.0,,0.05,,,,,,,,,,,1.0,,,,,,,
14131929,away,Santa Clara,Neneca,,,neneca,Neneca,G,12,192,90,M,1186955,EUR,1061942400,G,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,away,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,away,Santa Clara,José Tavares,José Tavares,,jose-tavares,J. Tavares,M,65,178,31,M,2155276,EUR,1054512000,M,65,65,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,away,Santa Clara,Anthony Carter,,,anthony-carter,A. Carter,F,9,192,153,M,370010,EUR,778291200,F,9,9,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
