match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_aerialLost,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_challengeLost,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAShot,stat_hitWoodwork
11406842,away,Cagliari,Gianluca Lapadula,,,gianluca-lapadula,G. Lapadula,F,10,178,4596,M,147368,EUR,634348800,F,9,9,False,7.0,4.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,,,,,78.0,18.0,6.4,5.0,8.954e-05,2,,,,,6.0,1.0,,,,,0.1285,,1.0,,,3.0,1.0,,,1.0,1.0,,0.172,,1.0,gianlucalapadula,,,,1.0,,1.0,,,1.0
11406842,away,Cagliari,Alessandro Di Pardo,,,alessandro-di-pardo,A. D. Pardo,M,29,182,158,M,928814,EUR,932256000,D,99,99,True,8.0,5.0,3.0,2.0,2.0,8.0,1.0,1.0,,2.0,,,,12.0,17.0,6.7,6.0,0.0260003,1,,,4.0,2.0,1.0,1.0,1.0,,,,0.0161,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Nahitan Nández,,,nahitan-nandez,N. Nandez,M,8,175,1922,M,589620,EUR,820108800,M,8,8,True,5.0,4.0,,1.0,1.0,8.0,,,,,,,,12.0,16.0,6.5,8.0,0.00362351,0,,,3.0,4.0,2.0,,,,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,
11406842,away,Cagliari,Leonardo Pavoletti,,,leonardo-pavoletti,L. Pavoletti,F,30,188,554,M,132704,EUR,596505600,F,30,30,True,6.0,6.0,,1.0,1.0,5.0,,,,,,,,12.0,9.0,6.5,2.0,0.00385005,0,,,5.0,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,
11406842,away,Cagliari,Velizar-Iliya Iliev,,,iliev-velizar-iliya,V. Iliev,G,31,194,139,M,1137731,EUR,1121817600,G,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Boris Radunović,,,boris-radunovic,B. Radunović,G,22,193,193,M,795926,EUR,833068800,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186,654,M,964153,EUR,1030060800,D,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Mateusz Wieteska,,,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Ibrahim Sulemana,,,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,105905,EUR,1053561600,M,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Paulo Azzi,,,paulo-azzi,P. Azzi,M,7,188,184,M,383314,EUR,774230400,D,37,37,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Matteo Prati,,,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Andrea Petagna,,,andrea-petagna,A. Petagna,F,37,190,474,M,295973,EUR,804470400,F,32,32,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Nicolas Viola,,,nicolas-viola,N. Viola,F,10,180,280,M,21608,EUR,624153600,M,10,10,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
