match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_shotOffTarget,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_keyPass,stat_penaltyConceded,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt,stat_errorLeadToAGoal
12117219,away,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175,16511,M,l_araujo11ofi,840451,EUR,833673600,M,7,7,False,37.0,31.0,5.0,4.0,0.0,12.0,13.0,19.0,29.0,8.0,7.0,,,,,90.0,69.0,7.4,17.0,0.13937,2,,,,3.0,,11.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,,1.0,0.0671,,5.0,,5.0,3.0,1.0,1.0,2.0,,,1.0,0.0176,,,
12117219,away,Flamengo,Gerson,gerson,Gerson,M,11,185,29672,M,gerson_santos,611876,EUR,864086400,M,8,8,False,41.0,34.0,1.0,,0.0,10.0,13.0,24.0,29.0,10.0,5.0,,,,,90.0,70.0,6.9,16.0,0.0249039,1,,,,,,6.0,1.0,2.0,,,3.0,2.0,1.0,5.0,,,,0.1066,True,1.0,,5.0,2.0,,,2.0,,,,,,1.0,
12117219,away,Flamengo,Bruno Henrique,bruno-henrique,B. Henrique,F,27,184,33811,M,B.henrique,795291,EUR,662515200,M,27,27,False,15.0,11.0,,,0.0,2.0,2.0,9.0,13.0,7.0,4.0,,,,,90.0,37.0,6.5,14.0,0.00903842,1,,,,5.0,2.0,13.0,1.0,2.0,,,2.0,1.0,6.0,2.0,4.0,,,0.0488,,,,2.0,1.0,,,,,,1.0,0.0395,,,
12117219,away,Flamengo,Pedro,pedro,Pedro,F,9,186,57455,M,pedroguilherme,840219,EUR,866764800,F,9,9,False,14.0,10.0,,,0.0,7.0,7.0,3.0,7.0,3.0,1.0,,,,,68.0,23.0,7.1,8.0,0.342053,2,,,,,1.0,5.0,,3.0,,,,,,1.0,1.0,,1.0,0.8127,,,,2.0,1.0,,,,,,1.0,0.7611,1.0,,
12117219,away,Flamengo,Carlos Alcaraz,carlos-alcaraz,C. Alcaraz,M,24,183,6111,M,_alcaraz22,1017392,EUR,1038614400,M,37,37,True,30.0,22.0,1.0,,0.0,9.0,9.0,13.0,21.0,2.0,2.0,,,,,56.0,37.0,6.4,9.0,0.0268022,1,,,,,,5.0,1.0,,2.0,,2.0,1.0,,,3.0,,1.0,0.0168,,,,1.0,,,,,,,,,,,
12117219,away,Flamengo,Allan,allan,Allan,M,29,172,5267,M,,828839,EUR,857347200,M,21,21,True,31.0,29.0,4.0,2.0,0.0,11.0,12.0,18.0,19.0,1.0,1.0,,,,,27.0,36.0,6.7,3.0,0.0985644,0,,,,1.0,,5.0,1.0,,1.0,,1.0,1.0,,,2.0,,,,,,,1.0,,,2.0,1.0,,,,,,,
12117219,away,Flamengo,Wesley,wesley-franca,Wesley,D,43,178,26920,M,WesleyFranca03,1134200,EUR,1062806400,D,43,43,True,8.0,6.0,,,0.0,3.0,4.0,4.0,6.0,6.0,3.0,,,,,22.0,19.0,7.0,4.0,0.0171415,0,,,,,2.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,
12117219,away,Flamengo,Carlinhos,carlinhos,Carlinhos,F,99,195,1670,M,,852534,EUR,855705600,F,22,22,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,22.0,1.0,6.5,,0.00515891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Matheus Gonçalves,matheus-goncalves,M. Gonçalves,M,20,175,7172,M,,1175553,EUR,1124323200,F,20,20,True,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,2.0,,,,,,20.0,12.0,6.9,1.0,0.0145334,1,,Matheus Gonçalves,,,,1.0,1.0,,,,,,1.0,,,,1.0,0.0407,,,,2.0,2.0,,,,,,,,,,
12117219,away,Flamengo,Matheus Cunha,matheus-cunha,M. Cunha,G,25,193,4946,M,,1105835,EUR,990662400,G,25,25,True,,,,,,,,,,,,,,,,,,,,,0,,Matheus Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Dyogo Alves,dyogo-alves,D. Alves,G,49,188,2374,M,,1514629,EUR,1073606400,G,49,49,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Carbone,carbone,Carbone,D,44,187,1248,M,,1640597,EUR,1106956800,D,44,44,True,,,,,,,,,,,,,,,,,,,,,0,,Carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Cleiton,cleiton-santana,Cleiton,D,33,194,3448,M,,1134199,EUR,1051228800,D,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Lorran,lorran,Lorran,M,99,180,6061,M,lorranlucas10,1459764,EUR,1151971200,M,19,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Evertton Araujo,evertton,E. Araujo,M,52,185,4689,M,,1145106,EUR,1046390400,M,52,52,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Rayan Lucas,rayan-lucas,R. Lucas,M,60,185,934,M,,1588180,EUR,1104710400,M,35,35,True,,,,,,,,,,,,,,,,,,,,,0,,Rayan Lucas,Marques de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
