match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_goals,stat_goalAssist,stat_crossNotClaimed,stat_punches,stat_lastManTackle
11451076,away,Alanyaspor,Sergio Córdova,sergio-cordova,S. Córdova,F,9,188,672,M,881222,EUR,871084800,F,9,9,True,7.0,3.0,,,1.0,1.0,2.0,7.0,1.0,1.0,,1.0,,,,,27.0,8.0,6.5,5.0,0.00376911,0,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
11451076,away,Alanyaspor,Leroy Fer,leroy-fer,L. Fer,M,8,188,136,M,31821,EUR,631497600,M,8,8,True,20.0,16.0,4.0,1.0,6.0,7.0,10.0,13.0,1.0,1.0,,1.0,,,,,14.0,21.0,6.6,4.0,0.00718746,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Yunus Bahadir,yunus-bahadir,Y. Bahadir,D,2,170,42,M,964756,EUR,1028678400,D,42,42,True,4.0,3.0,,,2.0,2.0,1.0,2.0,,,,1.0,,,,,18.0,5.0,6.5,1.0,0.00056184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Pione Sisto,pione-sisto,P. Sisto,M,77,171,409,M,287943,EUR,791856000,F,18,18,True,8.0,7.0,1.0,1.0,2.0,3.0,5.0,5.0,,,,,,,,,18.0,8.0,6.6,1.0,0.00358852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Yusuf Karagöz,yusuf-karagoz,Y. Karagöz,G,99,195,33,M,1133582,EUR,939081600,G,99,99,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Yusuf Karagoz,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Yavuz Aygün,yavuz-aygun,Y. Aygün,G,,193,18,M,806447,EUR,835833600,G,35,35,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Yavuz,Aygün,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Nuno Lima,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Nuno Lima,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Jure Balkovec,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Eren Altıntaş,altintas-eren,E. Altıntaş,M,26,183,20,M,1519985,EUR,1080604800,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Eren Altintas,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Anderson Silva,anderson-silva,A. Silva,F,33,186,521,M,892272,EUR,880070400,F,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
