match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
12437718,away,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186,20741,M,783374,EUR,771638400,M,9,9,False,27.0,16.0,1.0,,3.0,6.0,8.0,23.0,,5.0,,,,,90.0,47.0,7.7,23.0,0.0971797,2,,11.0,4.0,1.0,2.0,3.0,8.0,4.0,1.0,3.0,1.0,,,2.0,,1.0,3.0,,,,0.5394,,3.0,,1.0,2.0,1.0,2.0,IñakiWill,,,,,
12437718,away,Athletic Club,Oihan Sancet,,,oihan-sancet,O. Sancet,M,8,188,3356,M,966801,EUR,956620800,M,8,8,False,26.0,21.0,2.0,2.0,0.0,8.0,9.0,17.0,,2.0,,,,,71.0,38.0,7.0,12.0,0.0328926,2,,13.0,,,,,4.0,1.0,,2.0,,,,3.0,1.0,,2.0,1.0,,1.0,0.4436,0.8325,,,,,,1.0,,,,,,1.0
12437718,away,Athletic Club,Nico Williams,,,nico-williams,N. Williams,M,10,180,84836,M,1085400,EUR,1026432000,M,10,10,False,25.0,16.0,,,0.0,4.0,9.0,18.0,,7.0,,,,,71.0,44.0,7.6,17.0,0.0674307,2,,13.0,2.0,1.0,,1.0,6.0,9.0,,7.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,0.1824,0.8406,3.0,,3.0,,,1.0,NicoWill,,,,,
12437718,away,Athletic Club,Gorka Guruzeta,,,gorka-guruzeta,G. Guruzeta,F,11,188,2498,M,605672,EUR,842486400,F,12,12,False,18.0,13.0,2.0,2.0,0.0,6.0,7.0,11.0,,2.0,,,,,59.0,32.0,7.0,8.0,0.013673,1,,7.0,,,1.0,1.0,3.0,4.0,,3.0,,,,2.0,1.0,1.0,,1.0,,,0.0341,0.0274,,,2.0,,,,,,,,,
12437718,away,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179,600,M,1012409,EUR,981590400,D,24,24,True,9.0,2.0,1.0,,0.0,1.0,2.0,7.0,,1.0,,,,,31.0,13.0,6.3,8.0,0.00090773,0,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
12437718,away,Athletic Club,Mikel Vesga,,,mikel-vesga,M. Vesga,M,6,191,504,M,359742,EUR,734227200,M,6,6,True,7.0,6.0,,,0.0,5.0,6.0,1.0,3.0,2.0,,,,,31.0,16.0,6.5,3.0,0.00013779,0,,1.0,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
12437718,away,Athletic Club,Álex Berenguer,,,alex-berenguer,Á. Berenguer,M,7,175,1919,M,592012,EUR,804816000,F,7,7,True,4.0,1.0,,,0.0,,,7.0,1.0,,,,,,19.0,11.0,7.0,6.0,0.365208,0,,2.0,3.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,,,,
12437718,away,Athletic Club,Unai Gómez,,,unai-gomez,U. Gómez,M,20,183,803,M,1391375,EUR,1053820800,M,20,20,True,6.0,3.0,,,0.0,,1.0,5.0,1.0,2.0,,,,,19.0,10.0,6.6,4.0,0.00243335,0,,3.0,,,1.0,2.0,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
12437718,away,Athletic Club,Andoni Gorosabel,,,andoni-gorosabel,A. Gorosabel,D,2,174,530,M,866810,EUR,839116800,D,2,2,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,13.0,8.0,6.4,1.0,7.184e-05,0,,1.0,,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Alex Padilla,Álex Padilla,,padilla-alex,Á. Padilla,G,27,190,1431,M,1155116,EUR,1062374400,G,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Íñigo Lekue,,,inigo-lekue,Í. Lekue,D,15,180,388,M,801837,EUR,736473600,D,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Adama Boiro,Adama Boiro,,adama-boiro,A. Boiro,D,19,182,1918,M,1398511,EUR,1024704000,D,32,32,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Unai Núñez,,,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Nico Serrano,,,nico-serrano,N. Serrano,M,22,178,446,M,1019318,EUR,1046822400,F,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Ander Herrera,,,ander-herrera,A. Herrera,M,21,182,3084,M,82474,EUR,619056000,M,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Álvaro Djaló,Álvaro Djaló,,alvaro-djalo,Á. Djaló,F,14,176,1150,M,1160960,EUR,934761600,F,11,11,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
