match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,player_sofascoreId,stat_bigChanceCreated
11068546,away,Başakşehir FK,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176,112,M,96520,EUR,684806400,M,7,7,False,33.0,28.0,2.0,2.0,11.0,14.0,17.0,21.0,4.0,2.0,3.0,2.0,,,,58.0,45.0,6.3,10.0,,0,3.0,1.0,9.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,
11068546,away,Başakşehir FK,Stefano Okaka,stefano-okaka,S. Okaka,F,7,186,329,M,13148,EUR,618624000,F,77,77,False,14.0,12.0,,,5.0,7.0,7.0,7.0,1.0,,1.0,,,,,58.0,17.0,6.5,4.0,,0,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,1.0,,,,,
11068546,away,Başakşehir FK,Adnan Januzaj,adnan-januzaj,A. Januzaj,M,24,186,1621,M,328145,EUR,791942400,M,11,11,True,13.0,12.0,,,1.0,1.0,15.0,18.0,2.0,,,,,,,32.0,24.0,6.8,7.0,2.0,0,,1.0,7.0,1.0,4.0,1.0,,,,,,,,6.0,4.0,3.0,,,,,,,,,,,1.0
11068546,away,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,F,25,25,True,6.0,5.0,,,,,5.0,8.0,3.0,,1.0,1.0,,,,32.0,17.0,6.8,6.0,,3,,2.0,2.0,,1.0,,,,,,1.0,,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,
11068546,away,Başakşehir FK,Danijel Aleksić,danijel-aleksic,D. Aleksić,M,9,182,137,M,45377,EUR,672969600,M,8,8,True,6.0,2.0,,,2.0,2.0,,4.0,,,1.0,,,,,31.0,10.0,6.3,6.0,,1,,,2.0,,,,,,,,1.0,,,,,1.0,,2.0,1.0,,,,,,,,
11068546,away,Başakşehir FK,Patryk Szysz,patryk-szysz,P. Szysz,M,21,177,284,M,831930,EUR,891388800,M,18,18,True,5.0,4.0,,,,,4.0,6.0,1.0,,,1.0,,,,18.0,7.0,6.5,2.0,,0,,,1.0,,,,,,,,1.0,Patryk,Szysz,1.0,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Philippe Keny,philippe-keny,P. P. Keny,F,19,186,355,M,988909,EUR,926985600,F,17,17,True,6.0,5.0,1.0,1.0,,1.0,5.0,5.0,,,3.0,,,,,18.0,7.0,6.6,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
11068546,away,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Efe Arda Koyuncu,efe-arda-koyuncu,E. A. Koyuncu,D,,182,21,M,1148991,EUR,1120780800,D,41,41,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Efe Arda Koyuncu,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Şener Özbayraklı,sener-ozbayrakli,Ş. Özbayraklı,D,,172,44,,129992,EUR,632966400,D,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Mahmut Tekdemir,mahmut-tekdemir,M. Tekdemir,D,,178,50,M,43666,EUR,569721600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Caner Erkin,caner-erkin,C. Erkin,D,88,181,260,M,15680,EUR,591926400,D,88,88,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
