match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_totalOffside,captain,player_sofascoreId,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_goodHighClaim
13981594,away,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177.0,117714,M,256219,EUR,753321600,F,21,21,False,37.0,30.0,4.0,4.0,0.0,11.0,11.0,19.0,26.0,,2.0,,4.0,1.0,,,,90.0,54.0,6.3,16.0,0.0970664,118.40580086443,17.0,23.835,19.32,,3,,-0.26,0.37,-0.03,,,,1.0,4.0,,4.0,1.0,,2.0,,,,,0.3181,,19.605219305073,1.0,1.0,-0.72,,,,,6.0,,,LaJoya,,,1.0,1.0,1.0,,,
13981594,away,Roma,Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188.0,8346,M,999231,EUR,1098144000,F,11,11,False,11.0,7.0,,,0.0,1.0,3.0,6.0,8.0,1.0,2.0,,,1.0,,,,60.0,29.0,6.2,14.0,0.0456338,42.488324854765,6.0,23.205,13.23,,3,,-0.37,0.22,-0.03,,,,2.0,7.0,,,,3.0,,,,,5.0,0.1842,0.3752,14.474280638429,1.0,1.0,0.14,,,,,,1.0,,EvanFerguson9,5.0,,,,,,,
13981594,away,Roma,Wesley,wesley-franca,Wesley,D,43,178.0,26776,M,1134200,EUR,1062806400,D,43,43,True,18.0,15.0,2.0,,0.0,7.0,8.0,8.0,10.0,,,2.0,3.0,,,,,45.0,28.0,7.0,5.0,0.407732,30.0708841192,4.0,3.78,5.775,,0,,0.27,-0.01,0.28,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,,,WesleyFranca03,,,,,,1.0,,
13981594,away,Roma,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178.0,16200,M,786259,EUR,831859200,D,12,12,True,13.0,11.0,1.0,,0.0,3.0,4.0,8.0,9.0,1.0,4.0,1.0,,,,,,31.0,24.0,7.2,8.0,0.00593377,37.936742608985,7.0,12.075,8.715,,0,,0.09,-0.43,0.0,,,,,2.0,,3.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,4.0,,,TK21,,,,,,,,
13981594,away,Roma,Artem Dovbyk,artem-dovbyk,A. Dovbyk,F,9,189.0,13962,M,798820,EUR,866851200,F,9,9,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,3.0,,,2.0,,,,30.0,13.0,6.5,5.0,0.0242584,17.426082678924,4.0,-3.885,3.675,,0,,-0.06,-0.05,0.0,,,,,4.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,tema_dovbyk,3.0,,,,,,,
13981594,away,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178.0,5712,M,45925,EUR,720144000,F,92,92,True,13.0,11.0,,,0.0,4.0,5.0,7.0,8.0,,1.0,,,,,,,24.0,16.0,6.4,4.0,0.0106206,41.57708543974,5.0,-33.495,-1.155,,0,,0.02,-0.24,-0.05,,,,,3.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,stewel92,,,,,,,,
13981594,away,Roma,Niccolò Pisilli,niccolo-pisilli,N. Pisilli,M,61,180.0,2244,M,1175821,EUR,1095897600,M,61,61,True,5.0,3.0,1.0,,0.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,13.0,5.0,6.6,2.0,0.00222817,3.0428992753622,1.0,1.05,1.05,,0,,0.0,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195.0,2465,M,925285,EUR,894931200,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Pierluigi Gollini,pierluigi-gollini,P. Gollini,G,95,194.0,1254,M,329175,EUR,795484800,G,95,95,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Jacopo Mirra,jacopo-mirra,J. Mirra,D,76,189.0,66,M,1614130,EUR,1152489600,D,76,76,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189.0,1128,M,1384847,EUR,1041811200,D,87,87,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Emanuele Lulli,emanuele-lulli,E. Lulli,D,77,184.0,88,M,1955992,EUR,1187308800,D,77,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Alessandro Romano,alessandro-romano,A. Romano,M,60,,372,M,1417034,EUR,1150502400,M,60,60,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Alessandro Romano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,away,Roma,Angeliño,angelino,Angeliño,M,3,171.0,3336,M,848355,EUR,852336000,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
