match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117260,home,Red Bull Bragantino,Eduardo Sasha,eduardo-sasha,E. Sasha,F,8,173,1446,M,143846,EUR,698889600,F,19,19,False,,22.0,8.0,2.0,,0.0,4.0,6.0,4.0,16.0,1.0,,,,62.0,30.0,6.8,15.0,0.00557931,2,,,2.0,4.0,,,,,1.0,,,0.0932,4.0,1.0,,,,,0.1761,,,2.0,,,,1.0,,,,,,,
12117260,home,Red Bull Bragantino,Raul,raul,Raul,M,31,180,175,M,870760,EUR,837043200,M,23,23,True,,12.0,11.0,1.0,1.0,0.0,8.0,8.0,3.0,4.0,3.0,1.0,,,28.0,15.0,6.6,2.0,0.00573092,0,,,2.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Ivan Cavaleiro,ivan-cavaleiro,I. Cavaleiro,F,8,175,373,M,110950,EUR,750902400,F,9,9,True,,10.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,9.0,,1.0,,,28.0,15.0,6.5,5.0,0.00474143,0,,,4.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,3.0,,,,,,,,
12117260,home,Red Bull Bragantino,Eric Ramires,eric-ramires,E. Ramires,M,7,172,386,M,950545,EUR,965865600,M,7,7,True,,12.0,11.0,,,0.0,4.0,5.0,7.0,7.0,1.0,1.0,,,16.0,14.0,6.3,2.0,0.00540691,1,,,,,,,,1.0,,,,0.2404,,,,,,,,,,,,,,,,,1.0,,,,
12117260,home,Red Bull Bragantino,Douglas Mendes,douglas-mendes,D. Mendes,D,39,189,257,M,1134472,EUR,1087084800,D,39,39,True,,3.0,1.0,,,0.0,1.0,2.0,,1.0,,,,,17.0,7.0,6.5,5.0,0.00686522,0,,,,,,,,,,,,,,,,,,,,Douglas Mendes,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Arthur Sousa,arthur-sousa,A. Sousa,F,39,183,412,M,1170780,EUR,1047427200,F,27,27,True,,1.0,,,,0.0,,,,1.0,,,,,13.0,1.0,6.5,1.0,,0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Fabrício,fabricio,Fabrício,G,37,190,53,M,1047208,EUR,961027200,G,37,37,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Sergio Palacios,palacios-sergio,S. Palacios,D,13,195,281,M,1525493,EUR,1108339200,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Lucas Cunha,lucas-cunha,L. Cunha,D,3,186,169,M,794139,EUR,853977600,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,840150,EUR,899164800,M,35,35,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,João Neto,joao-neto,J. Neto,M,80,187,167,M,990454,EUR,1053475200,M,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Gustavo Neves,gustavo-neves,G. Neves,M,22,176,308,M,1463904,EUR,1082678400,M,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Vinicinho,vinicinho,Vinicinho,F,17,174,339,M,1587965,EUR,1077235200,F,54,54,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Vinicius,Mendonça Pereira,,,,,,,,,,,,
12117260,away,Palmeiras,Weverton,weverton,Weverton,G,1,189,7138,M,243529,EUR,566352000,G,21,21,False,,31.0,20.0,13.0,2.0,0.0,19.0,21.0,1.0,10.0,10.0,,3.0,5.0,90.0,42.0,7.7,12.0,0.00043528,0,0.4151,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,Weverton,1.0,1.0,1.0
