match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_totalOffside,captain,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_outfielderBlock,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_errorLeadToAShot
12421106,away,RSC Anderlecht,Moussa Ndiaye,moussa-ndiaye,M. Ndiaye,D,16,181,1546,M,982315,EUR,1024358400,D,5,5,False,44.0,38.0,2.0,,0.0,16.0,18.0,22.0,28.0,1.0,,,89.0,65.0,6.8,13.0,0.019307,0,,,,1.0,,5.0,,,,,4.0,2.0,2.0,1.0,2.0,,,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,
12421106,away,RSC Anderlecht,Mats Rits,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,23,23,False,40.0,31.0,3.0,2.0,0.0,18.0,21.0,13.0,19.0,8.0,,,90.0,52.0,7.4,10.0,0.349172,0,,,,3.0,,5.0,2.0,2.0,1.0,2.0,3.0,,,1.0,,,,1.0,,,,3.0,1.0,,,,,,,,,,2.0,,,,,
12421106,away,RSC Anderlecht,Theo Leoni,theo-leoni,T. Leoni,M,6,174,569,M,867251,EUR,956275200,M,17,17,False,29.0,28.0,1.0,1.0,0.0,18.0,18.0,10.0,11.0,1.0,,,57.0,39.0,6.8,2.0,0.0115223,1,,,,3.0,,1.0,3.0,,,,2.0,,,1.0,,,,,1.0,,,3.0,1.0,0.0314,,1.0,1.0,,,,,,,,,,,
12421106,away,RSC Anderlecht,Anders Dreyer,anders-dreyer,A. Dreyer,F,10,174,2337,M,809280,EUR,894067200,M,36,36,False,18.0,15.0,2.0,1.0,1.0,9.0,11.0,8.0,11.0,2.0,,,90.0,29.0,7.3,6.0,0.388899,1,,,,2.0,,,1.0,2.0,,,1.0,1.0,,,4.0,2.0,,1.0,1.0,,,1.0,,0.0273,,1.0,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Mario Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177,3682,M,1101702,EUR,1096416000,M,29,29,False,16.0,14.0,2.0,2.0,0.0,8.0,10.0,6.0,6.0,,,,68.0,21.0,6.5,3.0,0.0166314,1,,Mathieu,Stroeykens,3.0,2.0,,1.0,,,,3.0,,,1.0,,,,,,1.0,,,1.0,0.1007,0.3643,2.0,2.0,1.0,,,,,,,,,,1.0
12421106,away,RSC Anderlecht,Yari Verschaeren,verschaeren-yari,Y. Verschaeren,M,10,172,1145,M,901898,EUR,994896000,M,10,10,False,17.0,14.0,,,0.0,5.0,6.0,9.0,12.0,2.0,,,57.0,25.0,6.4,8.0,0.00685131,0,,,,3.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Kasper Dolberg,kasper-dolberg,K. Dolberg,F,9,187,4191,M,795761,EUR,876096000,F,12,12,False,7.0,7.0,,,0.0,1.0,1.0,6.0,6.0,,,,68.0,10.0,6.5,2.0,0.00737381,0,,,,2.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,KDolberg,,,,,,,
12421106,away,RSC Anderlecht,Francis Amuzu,amuzu-francis,F. Amuzu,M,9,170,1932,M,901889,EUR,935366400,M,7,7,True,11.0,9.0,,,0.0,3.0,3.0,6.0,9.0,1.0,,,33.0,21.0,6.3,7.0,0.0121396,0,,,,4.0,,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Majeed Ashimeru,majeed-ashimeru,M. Ashimeru,M,18,182,1285,M,901149,EUR,876441600,M,18,18,True,19.0,17.0,1.0,,0.0,8.0,8.0,9.0,11.0,2.0,,,33.0,28.0,6.8,5.0,0.0228492,1,,,,2.0,,,2.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,3.0,3.0,0.0257,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Samuel Edozie,samuel-edozie,S. Edozie,M,23,181,774,M,1065214,EUR,1043712000,M,27,27,True,4.0,3.0,,,0.0,1.0,2.0,2.0,2.0,,,,22.0,6.0,6.4,2.0,0.00308952,0,,Samuel Edozie,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
12421106,away,RSC Anderlecht,Luis Vázquez,luis-vazquez,L. Vázquez,F,19,191,1685,M,974713,EUR,988070400,F,20,20,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,,,22.0,7.0,6.6,2.0,0.00099783,0,,,,4.0,,,,,3.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Zanka,zanka,Zanka,D,,189,459,M,26404,EUR,640828800,D,13,13,True,,,,,0.0,,,,,,,,8.0,3.0,6.5,,,2,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,0.5156,,,,,,1.0,,,,,,,,
12421106,away,RSC Anderlecht,Mads Juhl Kikkenborg,kikkenborg-mads-juhl,M. J. Kikkenborg,G,16,197,183,M,984005,EUR,939254400,G,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Thomas Foket,thomas-foket,T. Foket,D,25,177,266,M,245615,EUR,780451200,D,25,25,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Marco Kana,marco-kana,M. Kana,D,55,183,383,M,964759,EUR,1028764800,D,55,55,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Tristan Degreef,degreef-tristan,T. Degreef,M,83,177,393,M,1436187,EUR,1106092800,M,83,83,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
