match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_ownGoals,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_accurateCross,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_goals
14572728,away,Roma,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7654,M,808590,EUR,871084800,F,31,31,True,5.0,3.0,,,0.0,1.0,2.0,2.0,3.0,,,,,,21.0,10.0,6.2,6.0,0.00264595,15.969716070269,2.0,7.35,11.655,,1,,-0.11,0.2,0.0,,,,2.0,,,,,2.0,,,,,,leonbailey,,0.1908,-0.47,,2.0,,,,2.0,11.664716070269,1.0,,,,1.0,1.0,,,0.1538,,,,,,,,,,
14572728,away,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117206,M,256219,EUR,753321600,F,21,21,True,8.0,7.0,2.0,1.0,0.0,1.0,1.0,6.0,7.0,,2.0,,,,21.0,13.0,6.9,3.0,0.216007,24.356580693434,4.0,-10.29,3.57,,1,,0.21,-0.03,0.0,,,1.0,,2.0,,,,1.0,,,,,,LaJoya,,0.1847,0.02,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
14572728,away,Roma,Jan Ziółkowski,jan-ziolkowski,J. Ziółkowski,D,24,194,4010,M,1499991,EUR,1117929600,D,24,24,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,1.0,,,,,10.0,5.0,6.6,1.0,0.00011229,,,,,,0,,0.01,,-0.03,,,,2.0,1.0,,1.0,,,,,1.0,Jan Ziólkowski,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Angeliño,angelino,Angeliño,M,3,171,3334,M,848355,EUR,852336000,D,3,3,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,10.0,3.0,6.7,1.0,0.00091615,3.2899537990677,1.0,-2.73,-2.73,,0,,0.05,-0.1,0.13,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14572728,away,Roma,Pierluigi Gollini,pierluigi-gollini,P. Gollini,G,95,194,1277,M,329175,EUR,795484800,G,95,95,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Giorgio De Marzi,giorgio-de-marzi,G. D. Marzi,G,70,186,309,M,1652568,EUR,1176854400,G,70,70,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16094,M,786259,EUR,831859200,D,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,TK21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Wesley,wesley-franca,Wesley,D,43,178,26920,M,1134200,EUR,1062806400,D,43,43,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,WesleyFranca03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189,1175,M,1384847,EUR,1041811200,D,87,87,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2776,M,186855,EUR,794188800,M,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6978,M,974087,EUR,990057600,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
