match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_totalTackle,stat_dispossessed,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wonTackle,stat_totalOffside,captain,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11368741,away,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194.0,5879,M,310874,EUR,767145600,F,7,7,False,31.0,22.0,1.0,1.0,6.0,8.0,17.0,24.0,1.0,1.0,,,,90.0,47.0,7.9,12.0,0.391672,2,,1.0,1.0,11.0,10.0,11.0,14.0,,2.0,2.0,3.0,1.0,3.0,vedatmuriqi,1.0,1.0,2.0,0.0521,,1.0,,,,,1.0,,,,1.0,,0.0216,,,1.0,,
11368741,away,Mallorca,Giovanni González,giovanni-gonzalez,G. González,D,20,175.0,319,M,590404,EUR,780019200,D,20,20,True,17.0,12.0,,,4.0,5.0,9.0,14.0,1.0,3.0,,,,30.0,25.0,6.4,8.0,0.0731917,0,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Cyle Larin,cyle-larin,C. Larin,F,9,187.0,1609,M,790179,EUR,798076800,F,17,17,True,9.0,5.0,,,2.0,3.0,3.0,6.0,,,,,,30.0,16.0,6.5,7.0,0.0035303,2,,,,2.0,3.0,4.0,3.0,,,,3.0,,,,,,4.0,0.4164,,,,,,,,,,,2.0,,0.1199,,,,1.0,
11368741,away,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177.0,524,M,349526,EUR,581558400,M,14,14,True,2.0,2.0,,,1.0,1.0,2.0,4.0,,1.0,,,,12.0,7.0,6.4,4.0,0.241123,0,,3.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
11368741,away,Mallorca,Javi Llabrés,javi-llabres,J. Llabrés,M,19,174.0,115,M,1162309,EUR,1031702400,F,19,19,True,2.0,2.0,,,,,2.0,2.0,,1.0,,,,12.0,3.0,6.6,1.0,0.00037942,0,,,,,,,,,,,1.0,,,,,,,,,,,Javi Llabrés,,,,,,,,,,,,,,
11368741,away,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183.0,1427,M,988351,EUR,975283200,M,12,12,True,2.0,2.0,,,,,3.0,3.0,,,,,,1.0,3.0,,,0.114687,0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Dominik Greif,dominik-greif,D. Greif,G,1,197.0,925,M,791046,EUR,860284800,G,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Iván Cuéllar,ivan-cuellar,I. Cuéllar,G,25,187.0,119,M,19013,EUR,454464000,G,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Jaume Costa,jaume-costa,J. Costa,D,,171.0,89,M,44577,EUR,574646400,D,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Yuzún Ley,yuzun-ley,Y. Ley,D,,180.0,43,M,1585899,EUR,1074384000,D,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179.0,256,M,949722,EUR,861667200,M,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Abdón Prats,abdon-prats,A. Prats,F,9,181.0,325,M,146852,EUR,724550400,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
