match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock
14053652,home,Fortuna Sittard,Kaj Sierhuis,kaj-sierhuis,K. Sierhuis,F,9,180,498,M,855847,EUR,893635200,F,9,9,False,13.0,11.0,1.0,,0.0,3.0,4.0,8.0,9.0,2.0,,,,67.0,22.0,6.6,5.0,0.0192495,50.365629955919,4.0,14.175,17.955,,1,,0.01,0.17,0.0,,,,4.0,5.0,5.0,,,,2.0,2.0,3.0,3.0,1.0,1.0,0.0418,-0.22,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Philip Brittijn,philip-brittijn,P. Brittijn,M,23,182,101,M,1132766,EUR,1081468800,M,23,23,True,8.0,5.0,,,0.0,2.0,4.0,3.0,4.0,3.0,,,,23.0,12.0,6.8,3.0,0.00307255,3.36,1.0,3.36,3.36,,1,,0.08,0.03,0.13,,,,1.0,1.0,4.0,,,,,1.0,,1.0,,1.0,0.1183,-0.4,,,2.0,,Philip Brittijn,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Makan Aïko,makan-aiko,M. Aïko,F,90,180,103,M,1136902,EUR,978825600,F,11,11,True,6.0,5.0,1.0,,0.0,2.0,3.0,3.0,3.0,,,,,23.0,15.0,6.7,4.0,0.131958,87.12181195233,9.0,50.085,22.575,,2,,0.09,0.15,0.15,,,3.0,1.0,1.0,2.0,,,,1.0,2.0,,,,2.0,0.3422,-0.29,,,,,,,,,,1.0,,,,,,,,
14053652,home,Fortuna Sittard,Paul Gladon,paul-gladon,P. Gladon,F,19,188,61,M,148615,EUR,700876800,F,19,19,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,23.0,5.0,6.5,1.0,0.0597137,4.5684160274651,1.0,-1.155,-1.155,,1,,0.15,0.0,0.0,,,,4.0,5.0,2.0,,,,,,1.0,2.0,2.0,,0.0345,-0.14,,,,,,,,,,,,1.0,,,,,,
14053652,home,Fortuna Sittard,Justin Hubner,hubner-justin,J. Hubner,D,28,187,11556,M,1112604,EUR,1063497600,D,28,28,True,20.0,10.0,8.0,1.0,0.0,3.0,5.0,7.0,15.0,,,,,19.0,27.0,6.6,12.0,0.0100347,24.015847655735,4.0,-0.20999999999999,8.085,,1,,0.07,-0.05,-0.01,,,,,1.0,1.0,,3.0,,,,1.0,1.0,1.0,1.0,0.0402,0.0,,,,,,,,,,,,,,,,justinhubner5,,
14053652,home,Fortuna Sittard,Luka Tunjić,luka-tunjic,L. Tunjić,M,77,183,250,M,1896133,EUR,1132358400,M,77,77,True,1.0,,1.0,,0.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,,4.3816527703596,1.0,4.305,4.305,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Luka Tunjic,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Niels Martens,niels-martens,N. Martens,G,25,201,18,M,1513291,EUR,1083888000,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Niels Martens,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Luuk Koopmans,luuk-koopmans,L. Koopmans,G,1,191,51,M,128992,EUR,753580800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Houboulang Mendes,houboulang-mendes,H. Mendes,D,17,183,115,M,845119,EUR,894240000,D,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Marko Kerkez,marko-kerkez,M. Kerkez,D,88,184,206,M,1147503,EUR,961977600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Marko Kerkez,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Syb van Ottele,syb-van-ottele,S. v. Ottele,D,6,185,91,M,961686,EUR,1012608000,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Samuel Bastien,samuel-bastien,S. Bastien,M,22,174,271,M,352964,EUR,843696000,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Justin Lonwijk,justin-lonwijk,J. Lonwijk,M,17,189,264,M,875673,EUR,945734400,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,away,Heracles Almelo,Timo Jansink,jansink-timo,T. Jansink,G,16,197,38,M,1189737,EUR,1047772800,G,16,16,False,31.0,15.0,20.0,4.0,0.0,11.0,13.0,4.0,18.0,8.0,,3.0,4.0,90.0,41.0,6.9,16.0,0.0008169,30.802579962443,6.0,-19.635,0.105,0.2347,0,-0.4956,0.0,0.01,-0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
14053652,away,Heracles Almelo,Mike te Wierik,mike-te-wierik,M. t. Wierik,D,23,191,47,M,127554,EUR,707961600,D,23,23,False,15.0,10.0,,,0.0,6.0,8.0,4.0,7.0,,,,,45.0,24.0,6.5,7.0,0.00441883,13.902869765607,3.0,10.71,6.93,,0,,-0.05,0.01,-0.02,,,,3.0,5.0,3.0,,2.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0
